layer,urls
1,https://news.tvbs.com.tw/life/1829529?from=lightbox_issue_list
1,https://news.tvbs.com.tw/life/1829526?from=lightbox_issue_list
1,https://news.tvbs.com.tw/life/1829501?from=lightbox_issue_list
1,https://news.tvbs.com.tw/
1,https://news.tvbs.com.tw/realtime
1,https://news.tvbs.com.tw/hot
1,https://news.tvbs.com.tw/local
1,https://news.tvbs.com.tw/entertainment
1,https://news.tvbs.com.tw/politics
1,https://news.tvbs.com.tw/world
1,https://news.tvbs.com.tw/life
1,https://news.tvbs.com.tw/health
1,https://news.tvbs.com.tw/money
1,https://news.tvbs.com.tw/focus
1,https://news.tvbs.com.tw/travel
1,https://news.tvbs.com.tw/fun
1,https://news.tvbs.com.tw/tech
1,https://news.tvbs.com.tw/sports
1,https://news.tvbs.com.tw/china
1,https://news.tvbs.com.tw/meteorological
1,https://news.tvbs.com.tw/cars
1,https://news.tvbs.com.tw/live/news4live
1,https://news.tvbs.com.tw/pack/packnews
1,https://news.tvbs.com.tw/pack/packdetail/20
1,https://news.tvbs.com.tw/ttalk
1,https://news.tvbs.com.tw/pack/packdetail/722
1,https://news.tvbs.com.tw/pack/packdetail/721
1,https://news.tvbs.com.tw/pack/packdetail/720
1,https://news.tvbs.com.tw/pack/packdetail/717
1,http://news.tvbs.com.tw/
1,https://news.tvbs.com.tw/pack/packdetail/710
1,https://www.ltn.com.tw
1,https://www.ltn.com.tw/
1,https://www.bbc.com/zhongwen
1,https://www.bbc.com/zhongwen/simp
1,https://www.bbc.com/zhongwen/trad
1,https://www.bbc.com/zhongwen/trad/topics/c83plve5vmjt
1,https://www.bbc.com/zhongwen/trad/topics/c9wpm0e5zv9t
1,https://www.bbc.com/zhongwen/trad/topics/c1ez1k4emn0t
1,https://www.bbc.com/zhongwen/trad/topics/c32p4kj2yzqt
1,https://www.bbc.com/zhongwen/trad/topics/cq8nqywy37yt
1,https://edition.cnn.com/
1,https://www.bbc.com/zhongwen/trad/media/video
1,https://edition.cnn.com/world
1,https://edition.cnn.com/politics
1,https://edition.cnn.com/business
1,https://edition.cnn.com/health
1,https://www.bbc.com/zhongwen/trad/business-61906975
1,https://www.bbc.com/zhongwen/trad/chinese-news-61564812
1,https://www.bbc.com/zhongwen/trad/business-61821669
1,https://edition.cnn.com/entertainment
1,https://edition.cnn.com/style
1,https://edition.cnn.com/travel
1,https://edition.cnn.com/sport
1,https://tw.news.yahoo.com/archive
1,https://www.bbc.com/zhongwen/trad/world-61797218
1,https://www.bbc.com/zhongwen/trad/chinese-news-61923445
1,https://www.bbc.com/zhongwen/trad/chinese-news-61906054
1,https://www.bbc.com/zhongwen/trad/world-61407058
1,https://edition.cnn.com/videos
1,https://edition.cnn.com/audio
1,https://edition.cnn.com/africa
1,https://tw.news.yahoo.com/most-popular
1,https://tw.news.yahoo.com/topic
1,https://tw.news.yahoo.com/entertainment
1,https://tw.news.yahoo.com/politics
1,https://www.bbc.com/zhongwen/trad/chinese-news-61909322
1,https://www.bbc.com/zhongwen/trad/world-61893810
1,https://www.bbc.com/zhongwen/trad/world-61894358
1,https://www.bbc.com/zhongwen/trad/world-61925498
1,https://edition.cnn.com/americas
1,https://edition.cnn.com/asia
1,https://edition.cnn.com/australia
1,https://edition.cnn.com/china
1,https://www.usatoday.com/
1,https://www.usatoday.com/celebrity-deaths
1,https://www.usatoday.com/storytelling/covid19-coronavirus-resource-guide/
1,https://tw.news.yahoo.com/finance
1,https://tw.news.yahoo.com/
1,https://tw.news.yahoo.com/weather/
1,https://www.bbc.com/zhongwen/trad/science-61913254
1,https://www.bbc.com/zhongwen/trad/chinese-news-61892591
1,https://www.bbc.com/zhongwen/trad/world-61891014
1,https://www.bbc.com/zhongwen/trad/world-61894020
1,https://www.bbc.com/zhongwen/trad/science-61889285
1,https://edition.cnn.com/europe
1,https://edition.cnn.com/india
1,https://edition.cnn.com/middle-east
1,https://www.usatoday.com/in-depth/graphics/2020/03/10/us-coronavirus-map-tracking-united-states-outbreak/4945223002/
1,https://www.usatoday.com/news/
1,https://www.usatoday.com/sports/
1,https://www.usatoday.com/entertainment/
1,https://tw.news.yahoo.com/topic/pets
1,https://tw.news.yahoo.com/most-popular/
1,https://www.bbc.com/zhongwen/trad/sports-61891163
1,https://www.bbc.com/zhongwen/trad/world-61891012
1,https://www.bbc.com/zhongwen/trad/world-61876374
1,https://www.bbc.com/zhongwen/trad/science-61884682
1,https://edition.cnn.com/uk
1,https://edition.cnn.com/specials/politics/joe-biden-news
1,https://edition.cnn.com/specials/politics/fact-check-politics
1,https://www.usatoday.com/life/
1,https://www.usatoday.com/money/
1,https://www.usatoday.com/tech/
1,https://tw.news.yahoo.com/poll/polllist/
1,https://tw.news.yahoo.com/global_videos_163--%E6%89%80%E6%9C%89%E9%A1%9E%E5%88%A5/archive/
1,https://tw.news.yahoo.com/topic/XR/
1,https://tw.news.yahoo.com/topic/yahoo-today/
1,https://www.bbc.com/zhongwen/trad/world-61879254
1,https://www.bbc.com/zhongwen/trad/chinese-news-61866261
1,https://www.bbc.com/zhongwen/trad/science-61840675
1,https://edition.cnn.com/election/2022
1,https://edition.cnn.com/business/tech
1,https://edition.cnn.com/business/media
1,https://edition.cnn.com/business/success
1,https://www.usatoday.com/travel/
1,https://www.usatoday.com/opinion/
1,https://www.usatoday.com/search/
1,https://www.usatoday.com/weather/
1,https://tw.news.yahoo.com/poll/pklist/
1,https://tw.news.yahoo.com/ybrain/
1,https://tw.news.yahoo.com/mag/
1,https://tw.news.yahoo.com/provider/
1,https://www.bbc.com/zhongwen/trad/science-61717785
1,https://www.bbc.com/zhongwen/trad/science-61698015
1,https://www.bbc.com/zhongwen/trad/science-61513345
1,https://www.bbc.com/zhongwen/trad/science-61522413
1,https://edition.cnn.com/business/perspectives
1,https://edition.cnn.com/business/videos
1,https://edition.cnn.com/specials/health/life-but-better
1,https://www.usatoday.com/news/ukraine/
1,https://www.usatoday.com/news/abortion/
1,https://www.usatoday.com/news/investigations/
1,https://tw.news.yahoo.com/topic/
1,https://tw.news.yahoo.com/topic/2019-nCoV/
1,https://tw.news.yahoo.com/topic/2019-nCoV-Q&A
1,https://news.tvbs.com.tw/life/1829526
1,https://news.tvbs.com.tw/life/1829529
1,https://news.tvbs.com.tw/world/1829504
1,https://www.bbc.com/zhongwen/trad/science-61407064
1,https://www.bbc.com/zhongwen/trad/world-61907200
1,https://www.bbc.com/zhongwen/trad/chinese-news-61907664
1,https://edition.cnn.com/specials/health/fitness-life-but-better
1,https://edition.cnn.com/specials/health/food-life-but-better
1,https://edition.cnn.com/specials/health/sleep-life-but-better
1,https://edition.cnn.com/specials/health/mindfulness-life-but-better
1,https://www.usatoday.com/news/factcheck/
1,https://www.usatoday.com/news/politics/
1,https://www.usatoday.com/graphics/
1,https://www.usatoday.com/story/news/nation/2022/06/24/roe-wade-live-updates/7723840001/
1,https://tw.news.yahoo.com/topic/2019-nCoV-Q&A#%E5%BF%AB%E7%AF%A9%E9%99%BD%E6%80%A7%E6%88%96%E7%A2%BA%E8%A8%BA%E6%80%8E%E9%BA%BC%E8%BE%A6
1,https://tw.news.yahoo.com/%E7%A2%BA%E8%A8%BA-%E5%AF%86%E5%88%87%E6%8E%A5%E8%A7%B8%E8%80%85-%E5%B1%85%E5%AE%B6%E9%9A%94%E9%9B%A2-%E5%BF%AB%E7%AF%A9-%E8%A3%9C%E5%8A%A9-110922955.html
1,https://tw.news.yahoo.com/topic/2019-nCoV-Q&A#%E5%85%92%E7%AB%A5%E5%B0%88%E5%8D%80
1,https://news.tvbs.com.tw/politics/1829506
1,https://news.tvbs.com.tw/local/1829513
1,https://news.tvbs.com.tw/world/1829515
1,https://news.tvbs.com.tw/eventsite/hottopic/power.html
1,https://www.bbc.com/zhongwen/trad/sports-61876208
1,https://www.bbc.com/zhongwen/trad/61892593
1,https://www.bbc.com/zhongwen/trad/world-61880139
1,https://www.bbc.com/zhongwen/trad/world-61882752
1,https://edition.cnn.com/specials/health/relationships-life-but-better
1,https://edition.cnn.com/entertainment/celebrities
1,https://edition.cnn.com/entertainment/movies
1,https://edition.cnn.com/entertainment/tv-shows
1,https://www.usatoday.com/story/news/politics/2022/05/03/roe-v-wade-abortion-laws/9625946002/
1,https://www.usatoday.com/story/news/nation/2022/06/24/roe-v-wade-abortion-rights-protests/7723620001/
1,https://www.usatoday.com/videos/news/nation/2022/06/25/activist-warns-repercussions-abortion-ruling/7731123001/
1,https://tw.news.yahoo.com/%E3%80%90%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%EF%BC%8F%E4%B8%8D%E6%96%B7%E6%9B%B4%E6%96%B0%E3%80%91%E5%85%A8%E7%90%83%E7%B4%AF%E8%A8%88-5-%E5%84%84-38888-%E8%90%AC%E4%BE%8B%E7%A2%BA%E8%A8%BA%E3%80%81-631-%E8%90%AC-8494-%E4%BE%8B%E6%9F%93%E7%96%AB%E6%AD%BB%E4%BA%A1-235831785.html
1,https://tw.news.yahoo.com/%E7%9B%B4%E6%92%AD%EF%BC%8F%E6%96%B0%E5%86%A0%E8%82%BA%E7%82%8E%E7%96%AB%E6%83%85%E8%A8%98%E8%80%85%E6%9C%83-yahoo%E5%A5%87%E6%91%A9%E5%85%A8%E7%A8%8B%E7%9B%B4%E6%92%AD-111813812.html/
1,https://tw.news.yahoo.com/topic/2019-nCoV-rumor/
1,https://tw.news.yahoo.com/archive/
1,https://news.tvbs.com.tw/exhibition/grandmaster-lecture/index.html
1,https://news.tvbs.com.tw/life/1829469
1,https://news.tvbs.com.tw/world/1829372
1,https://www.bbc.com/zhongwen/trad/world-61875681
1,https://www.bbc.com/zhongwen/trad/chinese-news-61862179
1,https://www.bbc.com/zhongwen/trad/world-61891009
1,https://edition.cnn.com/entertainment/culture
1,https://edition.cnn.com/specials/tech/innovate
1,https://www.usatoday.com/story/news/nation/2022/06/24/uvalde-texas-shooting-chief-of-police-recovery/7682423001/
1,https://www.usatoday.com/videos/news/nation/2022/06/25/visitor-center-built-stonewall-inn/7730506001/
1,https://www.usatoday.com/story/news/nation/2022/06/23/supreme-court-gun-control-ruling-reaction/7716735001/
1,https://www.usatoday.com/videos/news/nation/2022/06/25/activist-undeterred-roe-v-wade-decision/7730455001/
1,https://tw.news.yahoo.com/entertainment/archive/
1,https://tw.news.yahoo.com/world/archive/
1,https://tw.news.yahoo.com/politics/archive/
1,https://tw.news.yahoo.com/society/archive/
1,https://news.tvbs.com.tw/life/1829477
1,https://news.tvbs.com.tw/politics/1829476
1,https://news.tvbs.com.tw/life/1829484
1,https://news.tvbs.com.tw/world/1829473
1,https://www.bbc.com/zhongwen/trad/world-61822601
1,https://www.bbc.com/zhongwen/trad/chinese-news-61828528
1,https://www.bbc.com/zhongwen/trad/world-61810353
1,https://www.bbc.com/zhongwen/trad/world-61839013
1,https://edition.cnn.com/specials/tech/gadget
1,https://edition.cnn.com/specials/tech/foreseeable-future
1,https://edition.cnn.com/specials/tech/mission-ahead
1,https://www.usatoday.com/story/news/nation/2022/06/24/surfside-florida-condo-collapse-year-later-new-regulations/7714796001/
1,https://www.usatoday.com/in-depth/opinion/2022/06/22/abortion-decision-memoir-family-discovery-debate/7486336001/
1,https://www.usatoday.com/videos/news/nation/2022/06/25/emotions-run-high-inside-kansas-abortion-clinic/7730301001/
1,https://www.usatoday.com/story/news/nation/2022/06/24/lgbtq-representation-us-prisons-disproportionately-high/7612269001/
1,https://tw.news.yahoo.com/finance/archive/
1,https://tw.news.yahoo.com/lifestyle/archive/
1,https://tw.news.yahoo.com/sports/archive/
1,https://tw.news.yahoo.com/technology/archive/
1,https://news.tvbs.com.tw/life/1829221
1,https://news.tvbs.com.tw/entertainment/1829478
1,https://news.tvbs.com.tw/world/1829466
1,https://news.tvbs.com.tw/world/1828897
1,https://www.bbc.com/zhongwen/trad/science-61828707
1,https://www.bbc.com/zhongwen/trad/science-61825991
1,https://www.bbc.com/zhongwen/trad/science-61810533
1,https://edition.cnn.com/specials/tech/upstarts
1,https://edition.cnn.com/specials/tech/work-transformed
1,https://edition.cnn.com/specials/tech/innovative-cities
1,https://www.usatoday.com/videos/news/nation/2022/06/24/west-coast-states-tout-abortion-sanctuary/7730095001/
1,https://www.usatoday.com/story/news/politics/2022/06/23/jan-6-takeaways-trump-doj/7701545001/
1,https://www.usatoday.com/videos/news/politics/2022/06/24/supreme-court-united-states-overturns-roe-v-wade-decision/7729476001/
1,https://www.usatoday.com/story/news/nation/2022/06/24/families-reconnect-black-civil-war-ancestors/7702643001/
1,https://tw.news.yahoo.com/health/archive/
