layer,urls
1,https://www.youtube.com/
1,https://www.youtube.com/about/
1,https://www.youtube.com/about/press/
1,https://www.youtube.com/about/copyright/
1,https://www.youtube.com/t/contact_us/
1,https://www.youtube.com/creators/
1,https://www.youtube.com/ads/
1,https://www.youtube.com/t/terms
1,https://www.youtube.com/t/privacy
1,https://www.youtube.com/about/policies/
1,https://www.youtube.com/howyoutubeworks?utm_campaign=ytgen&utm_source=ythp&utm_medium=LeftNav&utm_content=txt&u=https%3A%2F%2Fwww.youtube.com%2Fhowyoutubeworks%3Futm_source%3Dythp%26utm_medium%3DLeftNav%26utm_campaign%3Dytgen
1,https://www.youtube.com/new
1,https://www.spotify.com/tw/
1,https://www.spotify.com/tw/signup?forward_url=https%3A%2F%2Fwww.spotify.com%2Ftw%2Fdownload%2F
1,https://www.spotify.com/tw/about-us/contact/
1,https://www.spotify.com/tw/free/
1,https://www.spotify.com/tw/select-your-country-region/
1,https://www.spotify.com/tw/legal/
1,https://www.spotify.com/tw/privacy/
1,https://www.spotify.com/tw/legal/privacy-policy/
1,https://www.spotify.com/tw/legal/cookies-policy/
1,https://www.spotify.com/tw/legal/privacy-policy/#s3
1,https://support.google.com/?tab=uu
1,https://support.google.com/youtube
1,https://support.google.com/
1,https://support.google.com/youtube/?hl=zh-Hant
1,"https://support.google.com/youtube/topic/9257498?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257500?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257107?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/10314939?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257430?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257610?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257986?hl=zh-Hant&ref_topic=3230811,3256124,"
1,"https://support.google.com/youtube/topic/6151248?hl=zh-Hant&ref_topic=3230811,3256124,"
1,https://support.google.com/youtube/announcements/11828969
1,https://support.google.com/youtube/community
1,"https://support.google.com/youtube/topic/9257404?hl=zh-Hant&ref_topic=9257498,3230811,3256124,"
1,"https://support.google.com/youtube/topic/3024171?hl=zh-Hant&ref_topic=9257498,3230811,3256124,"
1,"https://support.google.com/youtube/topic/2888603?hl=zh-Hant&ref_topic=9257498,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257117?hl=zh-Hant&ref_topic=9257498,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9153641?hl=zh-Hant&ref_topic=9257498,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257408?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257502?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257096?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257418?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257423?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257404?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257105?hl=zh-Hant&ref_topic=9257500,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9267757?hl=zh-Hant&ref_topic=9257107,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257108?hl=zh-Hant&ref_topic=9257107,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257518?hl=zh-Hant&ref_topic=9257107,3230811,3256124,"
1,"https://support.google.com/youtube/topic/9257112?hl=zh-Hant&ref_topic=9257107,3230811,3256124,"
1,"https://support.google.com/youtube/topic/3024171?hl=zh-Hant&ref_topic=9257107,3230811,3256124,"
