layer,urls
1,https://en.softonic.com
1,https://en.softonic.com/windows
1,https://en.softonic.com/windows/games
1,https://en.softonic.com/articles
1,https://en.softonic.com/best/vpn/
1,https://en.softonic.com/best/antivirus/
1,https://en.softonic.com/best/photo-editing-software/
1,https://en.softonic.com/best/free-to-play-games/
1,https://en.softonic.com/best/best-pc-games-in-2021/
1,https://en.softonic.com/windows/action
1,https://en.softonic.com/windows/adventure
1,https://en.softonic.com/windows/arcade
1,https://en.softonic.com/windows/board
1,https://en.softonic.com/windows/card
1,https://en.softonic.com/windows/casino
1,https://en.softonic.com/windows/educational
1,https://en.softonic.com/windows/family
1,https://en.softonic.com/windows/music
1,https://en.softonic.com/windows/puzzle
1,https://en.softonic.com/windows/racing
1,https://en.softonic.com/windows/role-playing
1,https://en.softonic.com/windows/simulation
1,https://en.softonic.com/windows/sport-games
1,https://en.softonic.com/windows/strategy
1,https://en.softonic.com/windows/trivia
1,https://en.softonic.com/windows/utilities
1,https://en.softonic.com/windows/word
1,https://en.softonic.com/windows/browsers
1,https://en.softonic.com/windows/add-ons-tools
1,https://en.softonic.com/windows/web-browsers
1,https://en.softonic.com/windows/security-privacy
1,https://en.softonic.com/windows/access-control
1,https://en.softonic.com/windows/ad-blockers
1,https://en.softonic.com/windows/anti-spam-anti-spy
1,https://en.softonic.com/windows/antivirus
1,https://en.softonic.com/windows/encryption
1,https://en.softonic.com/windows/firewalls
1,https://en.softonic.com/windows/keyloggers
1,https://en.softonic.com/windows/password-management
1,https://en.softonic.com/windows/vpn
1,https://en.softonic.com/windows/business-productivity
1,https://en.softonic.com/windows/accounting
1,https://en.softonic.com/windows/agenda-calendars
1,https://en.softonic.com/windows/banking-atm
1,https://en.softonic.com/windows/calculators-converters
1,https://en.softonic.com/windows/document-management
1,https://en.softonic.com/windows/e-mail-clients
1,https://en.softonic.com/windows/finance
1,https://en.softonic.com/windows/office-suites
1,https://en.softonic.com/windows/personal-finance-management
1,https://en.softonic.com/windows/project-management
1,https://en.softonic.com/windows/remote-pc
1,https://en.softonic.com/windows/internet-network
1,https://en.softonic.com/windows/download-managers
1,https://en.softonic.com/windows/file-sharing-peer-to-peer
1,https://en.softonic.com/windows/search-lookup-tools
1,https://en.softonic.com/windows/wifi
1,https://en.softonic.com/windows/multimedia
1,https://en.softonic.com/windows/audio
1,https://en.softonic.com/windows/burning
1,https://en.softonic.com/windows/graphic-design
1,https://en.softonic.com/windows/movies-tv
1,https://en.softonic.com/windows/music-radio
1,https://en.softonic.com/windows/photography
1,https://en.softonic.com/windows/streaming-videos
1,https://en.softonic.com/windows/video
1,https://en.softonic.com/windows/development
1,https://en.softonic.com/windows/backup-cloud-storage
1,https://en.softonic.com/windows/database
1,https://en.softonic.com/windows/development-kits
1,https://en.softonic.com/windows/ftp-clients
1,https://en.softonic.com/windows/ides-source-editors
1,https://en.softonic.com/windows/manual-tutorials
1,https://en.softonic.com/windows/networking
1,https://en.softonic.com/windows/programming-languages
1,https://en.softonic.com/windows/remote-control
1,https://en.softonic.com/windows/servers
1,https://en.softonic.com/windows/web-development
1,https://en.softonic.com/windows/education-reference
1,https://en.softonic.com/windows/books
1,https://en.softonic.com/windows/catalogs
1,https://en.softonic.com/windows/dictionaries
1,https://en.softonic.com/windows/e-readers
1,https://en.softonic.com/windows/geography
1,https://en.softonic.com/windows/languages-translation
1,https://en.softonic.com/windows/magazines-newspapers
1,https://en.softonic.com/windows/medicine
1,https://en.softonic.com/windows/science
1,https://en.softonic.com/windows/teaching-training
1,https://en.softonic.com/windows/lifestyle
1,https://en.softonic.com/windows/fashion-style
1,https://en.softonic.com/windows/food-drink
1,https://en.softonic.com/windows/grocery-lists
1,https://en.softonic.com/windows/health-fitness
1,https://en.softonic.com/windows/hobbies
1,https://en.softonic.com/windows/medical
1,https://en.softonic.com/windows/product-reviews-comparison
1,https://en.softonic.com/windows/shopping
1,https://en.softonic.com/windows/sports
1,https://en.softonic.com/windows/ticketing-service
1,https://en.softonic.com/windows/weather
1,https://en.softonic.com/windows/workout
1,https://en.softonic.com/windows/personalization
1,https://en.softonic.com/windows/cursors-fonts
1,https://en.softonic.com/windows/ringtones-sounds
1,https://en.softonic.com/windows/screen-lockers
1,https://en.softonic.com/windows/screen-savers
1,https://en.softonic.com/windows/themes
1,https://en.softonic.com/windows/wallpaper
1,https://en.softonic.com/windows/social-communication
1,https://en.softonic.com/windows/blog
1,https://en.softonic.com/windows/chat-instant-messaging
1,https://en.softonic.com/windows/photo-video-sharing
1,https://en.softonic.com/windows/social-networking
1,https://en.softonic.com/windows/travel-navigation
1,https://en.softonic.com/windows/maps-gps
1,https://en.softonic.com/windows/trip-management
1,https://en.softonic.com/windows/utilities-tools
1,https://en.softonic.com/windows/bar-code-scanning
1,https://en.softonic.com/windows/clocks-alarms
1,https://en.softonic.com/windows/data-recovery
1,https://en.softonic.com/windows/file-compression
1,https://en.softonic.com/windows/file-managers
1,https://en.softonic.com/windows/keyboards
1,https://en.softonic.com/windows/measurement
1,https://en.softonic.com/windows/printer-fax
1,https://en.softonic.com/windows/screen-capture
1,https://en.softonic.com/wordpress
1,https://en.softonic.com/android
1,https://en.softonic.com/mac
1,https://en.softonic.com/iphone
1,https://en.softonic.com/pwa
1,https://en.softonic.com/web-apps
1,https://en.softonic.com/downloads/4k-video
1,https://en.softonic.com/downloads/access-for-android
1,https://en.softonic.com/downloads/android
1,https://en.softonic.com/downloads/android-apps
1,https://en.softonic.com/downloads/android-apps-for-windows-7
1,https://en.softonic.com/downloads/android-games
1,https://en.softonic.com/downloads/android-games-for-android
1,https://en.softonic.com/downloads/android-games-free-for-android
1,https://en.softonic.com/downloads/app-store
1,https://en.softonic.com/downloads/app-store-for-android
1,https://en.softonic.com/downloads/android-for-windows-10
1,https://en.softonic.com/downloads/android-for-windows-7
